36 mini_c2tm_152.seq 3.8, 2.26, -3.0, 102.8, -7.572, [80.0], [1], [180], -3.0
36 mini_c2tm_153.seq 3.8, 2.26, -3.0, 102.8, -7.572, [80.0], [1], [180], -3.5
34 mini_c2tm_154.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], 2.0
37 mini_c2tm_155.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], 2.5
35 mini_c2tm_156.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], 3.0
34 mini_c2tm_157.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], -2.0
37 mini_c2tm_158.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], -2.5
35 mini_c2tm_159.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], -3.0
24 mini_c2tm_15.seq 3.8, 2.26, -4.0, 102.8, -10.119, [10.0], [1], [180], 2.5
40 mini_c2tm_160.seq 3.8, 2.26, -3.5, 102.8, -8.843, [80.0], [1], [180], -3.5
31 mini_c2tm_161.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], 2.0
33 mini_c2tm_162.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], 2.5
34 mini_c2tm_163.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], 3.0
31 mini_c2tm_164.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], -2.0
33 mini_c2tm_165.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], -2.5
34 mini_c2tm_166.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], -3.0
33 mini_c2tm_167.seq 3.8, 2.26, -4.0, 102.8, -10.119, [80.0], [1], [180], -3.5
43 mini_c2tm_168.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], 2.0
38 mini_c2tm_169.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], 2.5
21 mini_c2tm_16.seq 3.8, 2.26, -4.0, 102.8, -10.119, [10.0], [1], [180], 3.0
40 mini_c2tm_170.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], 3.0
43 mini_c2tm_171.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], -2.0
38 mini_c2tm_172.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], -2.5
40 mini_c2tm_173.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], -3.0
37 mini_c2tm_174.seq 3.8, 2.26, -3.0, 102.8, -7.572, [90.0], [1], [180], -3.5
43 mini_c2tm_175.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], 2.0
40 mini_c2tm_176.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], 2.5
38 mini_c2tm_177.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], 3.0
43 mini_c2tm_178.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], -2.0
40 mini_c2tm_179.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], -2.5
26 mini_c2tm_17.seq 3.8, 2.26, -4.0, 102.8, -10.119, [10.0], [1], [180], -2.0
38 mini_c2tm_180.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], -3.0
34 mini_c2tm_181.seq 3.8, 2.26, -3.5, 102.8, -8.843, [90.0], [1], [180], -3.5
34 mini_c2tm_182.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], 2.0
35 mini_c2tm_183.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], 2.5
34 mini_c2tm_184.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], 3.0
34 mini_c2tm_185.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], -2.0
35 mini_c2tm_186.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], -2.5
34 mini_c2tm_187.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], -3.0
32 mini_c2tm_188.seq 3.8, 2.26, -4.0, 102.8, -10.119, [90.0], [1], [180], -3.5
36 mini_c2tm_189.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], 2.0
24 mini_c2tm_18.seq 3.8, 2.26, -4.0, 102.8, -10.119, [10.0], [1], [180], -2.5
35 mini_c2tm_190.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], 2.5
36 mini_c2tm_191.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], 3.0
