# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [50.0, 50.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [50.0, 50.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [60.0, 60.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [60.0, 60.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [60.0, 60.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [70.0, 70.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [70.0, 70.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [70.0, 70.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [80.0, 80.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [80.0, 80.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [80.0, 80.0], [0], [180], -3.5, 'registerzoff'
