# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [100.0, 100.0, 100.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [105.0, 105.0, 105.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
